ID,Sample,negativity,neutrality,positivity,compound,polarity,subjectivity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Verdadero,Misinformation,Desinformación,ProGob,ContraGob,NoVerificable,MisDisInformation,Propaganda
258,A,0.106,0.894,0,-0.5859,0,0,0,0,0,0,0,0,0.090909091,0,0,0.045454545,1,0,0,0,0,0,0,0
259,A,0.105,0.843,0.052,-0.4215,0,0,0,0.117647059,0,0.176470588,0.058823529,0.117647059,0.235294118,0,0.058823529,0.058823529,1,0,0,0,0,0,0,0
261,A,0,0.857,0.143,0.3612,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0
262,A,0,1,0,0,0.133333333,0.233333333,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,1,0,0,0,0,0,0,0
263,A,0,1,0,0,0,0.066666667,0,0,0,0,0,0,0.052631579,0,0,0.105263158,1,0,0,0,0,0,0,0
264,A,0,1,0,0,0.133333333,0.358333333,0,0.058823529,0,0.058823529,0,0,0.058823529,0,0,0.058823529,0,0,0,0,0,1,0,0
265,A,0,1,0,0,0,0,0,0,0.153846154,0.076923077,0,0.153846154,0.230769231,0.076923077,0,0.076923077,0,0,0,0,1,0,0,1
266,A,0.11,0.786,0.104,-0.0754,0.08,0.44,0,0,0,0,0,0.045454545,0.136363636,0,0,0.045454545,0,0,1,0,1,0,1,1
267,A,0.302,0.698,0,-0.5994,0.068181818,0.227272727,0.111111111,0.222222222,0.111111111,0.111111111,0,0.111111111,0,0.111111111,0.111111111,0,1,0,0,0,0,0,0,0
268,A,0,1,0,0,0,0.75,0,0,0,0.0625,0,0.0625,0,0.125,0,0.0625,1,0,0,0,0,0,0,0
269,A,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,1,0,0,0,0,0,0,0
270,A,0.092,0.866,0.041,-0.3291,0,0.1,0,0,0,0.0625,0,0.125,0.0625,0.125,0,0.0625,0,0,0,0,1,0,0,1
271,A,0,0.911,0.089,0.5574,0.063636364,0.322727273,0,0,0,0.04,0,0,0.16,0,0,0.12,1,0,0,0,0,0,0,0
272,A,0,1,0,0,0,0,0,0.071428571,0,0,0,0.071428571,0,0,0,0.071428571,0,0,0,0,0,1,0,0
273,A,0.091,0.798,0.111,-0.0258,0.114285714,0.442857143,0,0.043478261,0,0.043478261,0.043478261,0,0.130434783,0.043478261,0.043478261,0.173913043,1,0,0,0,0,0,0,0
274,A,0,0.904,0.096,0.5574,0.181818182,0.280594406,0.041666667,0,0.041666667,0.041666667,0,0.041666667,0.125,0.041666667,0,0.083333333,1,0,0,0,0,0,0,0
275,A,0.264,0.736,0,-0.8655,-0.056071429,0.467261905,0.105263158,0.052631579,0.052631579,0.105263158,0,0.105263158,0.105263158,0.052631579,0,0,0,0,0,0,0,1,0,0
276,A,0,1,0,0,0,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0,0,0,1,0,0,0,0,0,0,0
